Lake Rep  Gear Species   TL  Hours
   Griffin   1    trapnet   blcr    100    96
   Griffin   1    trapnet   blcr    82     96
   Griffin   1    trapnet   blcr    107    96
   Griffin   1    trapnet   blcr    118    96
   Griffin   1    trapnet   blcr    112    96
   Griffin   1    trapnet   blcr    168    96
   Griffin   1    trapnet   blcr    148    96
   Griffin   1    trapnet   blcr    148    96
   Griffin   1    trapnet   blcr    138     96
   Griffin   1    trapnet   blcr    157     96
   Griffin   1    trapnet   blcr    194     96
   Griffin   1    trapnet   blcr    227     96
   Griffin   2    trapnet   blcr    270     96
   Griffin   2    trapnet   blcr    256     96
   Griffin   2    trapnet   blcr    253     96
   Griffin   2    trapnet   blcr    222     96
   Griffin   2    trapnet   blcr    82      96
   Griffin   2    trapnet   blcr    88      96
   Griffin   2    trapnet   blcr    102     96
   Griffin   2    trapnet   blcr    102     96
   Griffin   3    trapnet   blcr    118     96
   Griffin   3    trapnet   blcr    111     96
   Griffin   3    trapnet   blcr    84      96
   Griffin   3    trapnet   blcr    82      96
   Griffin   3    trapnet   blcr    90      96
   Griffin   3    trapnet   blcr    77      96
   Griffin   3    trapnet   blcr    86      96
   Griffin   3    trapnet   blcr    84      96
   Griffin   3    trapnet   blcr    85      96
   Griffin   3    trapnet   blcr    81      96
   Griffin   3    trapnet   blcr    77      96
   Griffin   3    trapnet   blcr    107     96
   Griffin   3    trapnet   blcr    82      96
   Griffin   3    trapnet   blcr    105     96
   Griffin   3    trapnet   blcr    97      96
   Griffin   3    trapnet   blcr    123     96
   Griffin   3    trapnet   blcr    80      96
   Griffin   3    trapnet   blcr    95      96
   Griffin   3    trapnet   blcr    209     96
   Griffin   4    trapnet   blcr    204      96
   Griffin   4    trapnet   blcr    139      96
   Griffin   4    trapnet   blcr    205      96
   Griffin   5    trapnet   blcr    169      96
   Griffin   5    trapnet   blcr    101      96
   Griffin   5    trapnet   blcr    102      96
   Griffin   5    trapnet   blcr    78      96
   Griffin   5    trapnet   blcr    87      96
   Griffin   5    trapnet   blcr    102      96
   Griffin   5    trapnet   blcr    98      96
   Griffin   5    trapnet   blcr    92      96
   Griffin   5    trapnet   blcr    80      96
   Griffin   6    trapnet   blcr    122      96
   Griffin   6    trapnet   blcr    118      96
   Griffin   6    trapnet   blcr    85     96
   Griffin   301  trapnet   blcr     .       96
   Griffin   302  trapnet   blcr     .       96
   Griffin   303  trapnet   blcr     .       96
   Griffin   304  trapnet   blcr     .       96
                              
                                                  
                                                  
                                                  
                                                  
                                                  
                                                  
                                                  
