GRIFFIN   GEAR SAMPLE    TL
GRIFFIN   TRAWL     7.6  168
GRIFFIN   TRAWL     7.6  218
GRIFFIN   TRAWL     7.6  189
GRIFFIN   TRAWL     7.6  186
GRIFFIN   TRAWL     7.7  245
GRIFFIN   TRAWL     7.7  293
GRIFFIN   TRAWL     7.7  93
GRIFFIN   TRAWL     7.7  78
GRIFFIN   TRAWL     7.8  253
GRIFFIN   TRAWL     7.8  226
GRIFFIN   TRAWL     7.8  228
GRIFFIN   TRAWL     7.8  227
GRIFFIN   TRAWL     7.8  176
GRIFFIN   TRAWL     7.8  161
GRIFFIN   TRAWL     7.8  118
GRIFFIN   TRAWL     7.9  146
GRIFFIN   TRAWL     7.9  147
GRIFFIN   TRAWL     7.11 146
GRIFFIN   TRAWL     7.11 186
GRIFFIN   TRAWL     7.11 187
GRIFFIN   TRAWL     7.11 223
GRIFFIN   TRAWL     8.1  184
GRIFFIN   TRAWL     8.2  174
GRIFFIN   TRAWL     8.2  200
GRIFFIN   TRAWL     8.2  206
GRIFFIN   TRAWL     8.2  208
GRIFFIN   TRAWL     8.2  206
GRIFFIN   TRAWL     8.2  217
GRIFFIN   TRAWL     8.2  277
GRIFFIN   TRAWL     8.2  109
GRIFFIN   TRAWL     8.2  102
GRIFFIN   TRAWL     8.2  93
GRIFFIN   TRAWL     8.2  109
GRIFFIN   TRAWL     8.2  150
GRIFFIN   TRAWL     8.2  167
GRIFFIN   TRAWL     8.2  173
GRIFFIN   TRAWL     8.2  278
GRIFFIN   TRAWL     8.2  299
GRIFFIN   TRAWL     8.3  228
GRIFFIN   TRAWL     8.3  195
GRIFFIN   TRAWL     8.3  203
GRIFFIN   TRAWL     8.3  184
GRIFFIN   TRAWL     8.3  106
GRIFFIN   TRAWL     8.4  250
GRIFFIN   TRAWL     8.4  252
GRIFFIN   TRAWL     8.4  206
GRIFFIN   TRAWL     8.4  183
GRIFFIN   TRAWL     8.4  165
GRIFFIN   TRAWL     8.4  120
GRIFFIN   TRAWL     8.4  100
GRIFFIN   TRAWL     8.5  272
GRIFFIN   TRAWL     8.5  258
GRIFFIN   TRAWL     8.5  253
GRIFFIN   TRAWL     8.5  173
GRIFFIN   TRAWL     8.5  160
GRIFFIN   TRAWL     8.5  216
GRIFFIN   TRAWL     8.5  211
GRIFFIN   TRAWL     8.5  202
GRIFFIN   TRAWL     8.5  216
GRIFFIN   TRAWL     8.5  257
GRIFFIN   TRAWL     8.6  313
GRIFFIN   TRAWL     8.6  180
GRIFFIN   TRAWL     8.6  167
GRIFFIN   TRAWL     8.6  190
GRIFFIN   TRAWL     8.6  95
GRIFFIN   TRAWL     8.7  242
GRIFFIN   TRAWL     8.7  254
GRIFFIN   TRAWL     8.7  210
GRIFFIN   TRAWL     8.7  180
GRIFFIN   TRAWL     8.7  192
GRIFFIN   TRAWL     8.7  185
GRIFFIN   TRAWL     8.7  185
GRIFFIN   TRAWL     8.7  182
GRIFFIN   TRAWL     8.7  167
GRIFFIN   TRAWL     8.7  163
GRIFFIN   TRAWL     8.7  111
GRIFFIN   TRAWL     8.7  86
GRIFFIN   TRAWL     8.8  .
GRIFFIN   TRAWL     8.9  158
GRIFFIN   TRAWL     8.9  212
GRIFFIN   TRAWL     8.9  173
GRIFFIN   TRAWL     8.9  167
GRIFFIN   TRAWL     8.9  129
GRIFFIN   TRAWL     8.9  103
GRIFFIN   TRAWL     8.9  120
GRIFFIN   TRAWL     8.9  141
GRIFFIN   TRAWL     8.9  137
GRIFFIN   TRAWL     9.1  .
GRIFFIN   TRAWL     9.2  243
GRIFFIN   TRAWL     9.2  181
GRIFFIN   TRAWL     9.2  146
GRIFFIN   TRAWL     9.3  150
GRIFFIN   TRAWL     9.3  154
GRIFFIN   TRAWL     9.3  155
GRIFFIN   TRAWL     9.3  118
GRIFFIN   TRAWL     9.3  104
GRIFFIN   TRAWL     9.3  200
GRIFFIN   TRAWL     9.3  241
GRIFFIN   TRAWL     9.4  82
GRIFFIN   TRAWL     9.4  190
GRIFFIN   TRAWL     9.4  188
GRIFFIN   TRAWL     9.4  183
GRIFFIN   TRAWL     9.4  188
GRIFFIN   TRAWL     9.4  205
GRIFFIN   TRAWL     9.4  165
GRIFFIN   TRAWL     9.4  249
GRIFFIN   TRAWL     9.4  260
GRIFFIN   TRAWL     9.4  273
GRIFFIN   TRAWL     9.5  198
GRIFFIN   TRAWL     9.5  229
GRIFFIN   TRAWL     9.5  104
GRIFFIN   TRAWL     9.5  167
GRIFFIN   TRAWL     9.5  132
GRIFFIN   TRAWL     9.5  119
GRIFFIN   TRAWL     9.5  264
GRIFFIN   TRAWL     9.6  107
GRIFFIN   TRAWL     9.6  102
GRIFFIN   TRAWL     9.6  111
GRIFFIN   TRAWL     9.6  163
GRIFFIN   TRAWL     9.6  168
GRIFFIN   TRAWL     9.6  192
GRIFFIN   TRAWL     9.6  210
GRIFFIN   TRAWL     9.6  240
GRIFFIN   TRAWL     9.6  248
GRIFFIN   TRAWL     10.1 231
GRIFFIN   TRAWL     10.1 95
GRIFFIN   TRAWL     10.1 277
GRIFFIN   TRAWL     10.2 250
GRIFFIN   TRAWL     10.2 242
GRIFFIN   TRAWL     10.2 148
GRIFFIN   TRAWL     10.2 106
GRIFFIN   TRAWL     10.2 88
GRIFFIN   TRAWL     10.2 92
GRIFFIN   TRAWL     10.2 84
GRIFFIN   TRAWL     10.3 242
GRIFFIN   TRAWL     10.3 235
GRIFFIN   TRAWL     10.3 222
GRIFFIN   TRAWL     10.3 232
GRIFFIN   TRAWL     10.3 169
GRIFFIN   TRAWL     10.3 137
GRIFFIN   TRAWL     10.3 109
GRIFFIN   TRAWL     10.3 98
GRIFFIN   TRAWL     10.3 78
GRIFFIN   TRAWL     10.4 156
GRIFFIN   TRAWL     10.4 169
GRIFFIN   TRAWL     10.4 161
GRIFFIN   TRAWL     10.4 193
GRIFFIN   TRAWL     10.4 102
GRIFFIN   TRAWL     10.4 85
GRIFFIN   TRAWL     10.4 192
GRIFFIN   TRAWL     10.4 275
GRIFFIN   TRAWL     10.4 88
GRIFFIN   TRAWL     11.1 230
