SEX	MAT	MTL	Age
female	1	265	4
female	1	265	6
female	1	265	6
female	1	265	6
female	1	265	5
female	1	265	5
female	1	265	3
female	1	265	5
female	1	265	2
female	1	265	3
female	1	265	4
female	1	265	6
female	1	265	3
female	1	265	2
female	1	265	2
female	1	265	3
female	1	265	2
female	1	265	2
female	1	265	3
female	1	266	7
female	1	266	5
female	1	266	4
female	1	266	3
female	1	266	3
female	1	266	3
female	1	266	3
female	1	267	4
female	1	267	7
female	1	267	6
female	1	267	4
female	1	267	3
female	1	267	3
female	1	267	2
female	1	267	3
female	1	267	3
female	1	268	4
female	1	268	4
female	1	268	3
female	1	268	7
female	1	268	3
female	1	268	3
female	1	268	2
female	1	268	2
female	1	269	4
female	1	269	5
female	1	269	5
female	1	269	4
female	1	269	7
female	1	269	6
female	1	269	4
female	1	269	2
female	1	269	5
female	1	269	2
female	1	269	2
female	1	269	3
female	1	269	3
female	1	269	4
female	1	269	4
female	1	269	2
female	1	270	8
female	1	270	6
female	1	270	6
female	1	270	3
female	1	270	4
female	1	270	4
female	1	270	4
female	1	270	4
female	1	270	4
female	1	270	3
female	1	270	3
female	1	270	2
female	1	270	3
female	1	270	3
female	1	270	3
female	1	271	7
female	1	271	6
female	1	271	9
female	1	271	8
female	1	271	4
female	1	271	3
female	1	271	4
female	1	271	5
female	1	271	3
female	1	271	4
female	1	271	3
female	1	271	3
female	1	271	2
female	1	272	6
female	1	272	4
female	1	272	7
female	1	272	4
female	1	272	6
female	1	272	4
female	1	272	4
female	1	272	3
female	1	272	3
female	1	272	5
female	1	272	4
female	1	272	2
female	1	272	3
female	1	272	3
female	1	272	3
female	1	273	6
female	1	273	6
female	1	273	3
female	1	273	4
female	1	273	2
female	1	273	3
female	1	274	4
female	1	274	4
female	1	274	5
female	1	274	3
female	1	274	4
female	1	274	6
female	1	274	5
female	1	274	3
female	1	274	4
female	1	274	4
female	1	274	3
female	1	274	2
female	1	275	6
female	1	275	6
female	1	275	4
female	1	275	4
female	1	275	4
female	1	275	4
female	1	275	3
female	1	275	6
female	1	275	5
female	1	275	4
female	1	275	4
female	1	275	9
female	1	275	10
female	1	275	4
female	1	275	4
female	1	275	2
female	1	275	3
female	1	275	4
female	1	275	3
female	1	275	3
female	1	275	3
female	1	276	3
female	1	276	4
female	1	276	8
female	1	276	7
female	1	276	7
female	1	276	4
female	1	276	5
female	1	276	3
female	1	276	3
female	1	277	4
female	1	277	4
female	1	277	3
female	1	277	3
female	1	277	4
female	1	277	2
female	1	278	4
female	1	278	4
female	1	278	7
female	1	278	6
female	1	278	4
female	1	278	7
female	1	278	5
female	1	278	5
female	1	278	3
female	1	278	2
female	1	279	9
female	1	279	7
female	1	279	4
female	1	279	4
female	1	279	4
female	1	279	3
female	1	279	4
female	1	279	4
female	1	280	7
female	1	280	4
female	1	280	7
female	1	280	6
female	1	280	10
female	1	280	5
female	1	280	4
female	1	280	4
female	1	280	5
female	1	280	4
female	1	280	3
female	1	280	4
female	1	281	7
female	1	281	7
female	1	281	11
female	1	281	4
female	1	281	7
female	1	281	5
female	1	281	5
female	1	281	4
female	1	281	4
female	1	282	15
female	1	282	4
female	1	282	3
female	1	282	3
female	1	282	4
female	1	282	5
female	1	283	6
female	1	283	3
female	1	283	3
female	1	284	4
female	1	284	4
female	1	284	4
female	1	284	16
female	1	284	4
female	1	285	7
female	1	285	6
female	1	285	6
female	1	285	4
female	1	285	4
female	1	285	5
female	1	285	3
female	1	285	7
female	1	285	4
female	1	285	4
female	1	286	4
female	1	286	12
female	1	286	9
female	1	286	7
female	1	286	4
female	1	286	4
female	1	286	8
female	1	286	5
female	1	286	3
female	1	286	3
female	1	287	7
female	1	287	4
female	1	287	11
female	1	287	3
female	1	288	11
female	1	288	7
female	1	288	6
female	1	288	9
female	1	288	6
female	1	288	2
female	1	289	6
female	1	289	11
female	1	289	9
female	1	289	4
female	1	289	3
female	1	289	5
female	1	289	13
female	1	290	7
female	1	290	4
female	1	290	4
female	1	290	4
female	1	290	3
female	1	290	3
female	1	290	3
female	1	291	6
female	1	292	6
female	1	292	9
female	1	293	8
female	1	293	7
female	1	293	9
female	1	294	8
female	1	294	9
female	1	294	3
female	1	294	3
female	1	295	9
female	1	295	4
female	1	295	10
female	1	295	3
female	1	296	6
female	1	296	3
female	1	296	3
female	1	297	7
female	1	297	17
female	1	297	7
female	1	297	11
female	1	297	6
female	1	297	7
female	1	297	6
female	1	298	4
female	1	298	3
female	1	299	7
female	1	299	8
female	1	299	4
female	1	299	5
female	1	300	12
female	1	300	9
female	1	300	15
female	1	300	8
female	1	300	15
female	1	300	16
female	1	300	6
female	1	301	7
female	1	301	9
female	1	301	5
female	1	301	3
female	1	302	6
female	1	302	15
female	1	302	11
female	1	302	6
female	1	302	3
female	1	302	3
female	1	303	4
female	1	303	3
female	1	303	4
female	1	304	7
female	1	304	9
female	1	304	5
female	1	304	9
female	1	305	4
female	1	305	8
female	1	305	12
female	1	305	12
female	1	305	8
female	1	305	6
female	1	305	5
female	1	305	4
female	1	305	3
female	1	305	8
female	1	305	4
female	1	306	4
female	1	306	4
female	1	306	6
female	1	306	2
female	1	307	8
female	1	307	7
female	1	308	3
female	1	308	4
female	1	309	10
female	1	310	10
female	1	310	4
female	1	310	2
female	1	310	5
female	1	311	12
female	1	311	8
female	1	311	6
female	1	311	8
female	1	312	4
female	1	312	5
female	1	313	4
female	1	314	5
female	1	315	11
female	1	315	10
female	1	315	18
female	1	316	7
female	1	316	7
female	1	317	9
female	1	317	9
female	1	318	9
female	1	320	8
female	1	320	7
female	1	320	4
female	1	323	5
female	1	325	6
female	1	326	7
female	1	327	6
female	1	327	12
female	1	327	7
female	1	327	5
female	1	330	7
female	1	332	4
female	1	335	7
female	1	336	5
female	1	337	10
female	1	339	12
female	1	340	9
female	1	340	9
female	1	342	14
female	1	344	5
female	1	345	6
female	1	345	7
female	1	351	5
female	1	353	6
female	1	357	7
female	1	400	6
male	0	74	0
male	0	90	0
male	0	92	0
male	0	104	0
male	0	157	1
male	0	165	1
male	0	190	2
male	0	198	2
male	0	202	1
male	0	206	2
male	0	207	1
male	0	209	2
male	0	210	2
male	0	211	2
male	0	212	1
male	0	212	2
male	0	215	2
male	0	216	1
male	0	217	2
male	0	218	1
male	0	221	1
male	0	223	1
male	0	224	2
male	0	225	2
male	0	225	2
male	0	226	4
male	0	227	2
male	0	228	2
male	0	228	2
male	0	228	2
male	0	229	3
male	0	230	3
male	0	231	2
male	0	232	2
male	0	232	2
male	0	233	2
male	0	236	2
male	0	237	2
male	0	237	2
male	0	238	2
male	0	238	2
male	0	238	2
male	0	242	2
male	0	243	2
male	0	245	2
male	0	247	2
male	0	248	2
male	0	249	2
male	0	254	3
male	0	254	2
male	0	254	3
male	0	260	3
male	0	261	3
male	0	279	3
male	1	188	1
male	1	190	2
male	1	190	2
male	1	193	2
male	1	195	2
male	1	195	2
male	1	195	2
male	1	196	2
male	1	197	2
male	1	199	2
male	1	201	2
male	1	203	2
male	1	203	2
male	1	204	2
male	1	205	2
male	1	205	2
male	1	205	2
male	1	206	2
male	1	207	2
male	1	207	3
male	1	208	2
male	1	209	2
male	1	209	2
male	1	209	2
male	1	209	1
male	1	209	2
male	1	209	2
male	1	210	2
male	1	212	2
male	1	212	2
male	1	213	2
male	1	213	2
male	1	214	2
male	1	214	2
male	1	214	2
male	1	215	2
male	1	215	2
male	1	215	3
male	1	215	2
male	1	215	2
male	1	215	2
male	1	216	2
male	1	216	2
male	1	217	2
male	1	217	1
male	1	217	1
male	1	217	2
male	1	217	2
male	1	217	2
male	1	218	2
male	1	218	2
male	1	218	2
male	1	219	2
male	1	219	2
male	1	220	2
male	1	220	2
male	1	220	2
male	1	220	2
male	1	220	2
male	1	220	2
male	1	220	2
male	1	220	2
male	1	220	2
male	1	220	2
male	1	220	2
male	1	220	1
male	1	220	1
male	1	220	2
male	1	220	2
male	1	220	2
male	1	221	2
male	1	221	2
male	1	222	2
male	1	222	2
male	1	222	2
male	1	222	2
male	1	222	2
male	1	222	2
male	1	223	2
male	1	223	2
male	1	223	2
male	1	223	2
male	1	223	2
male	1	223	2
male	1	224	2
male	1	224	2
male	1	224	2
male	1	224	1
male	1	224	2
male	1	224	2
male	1	224	1
male	1	224	2
male	1	224	2
male	1	224	2
male	1	225	2
male	1	225	2
male	1	225	2
male	1	225	2
male	1	225	2
male	1	225	2
male	1	225	1
male	1	225	2
male	1	225	2
male	1	225	2
male	1	225	2
male	1	225	2
male	1	225	2
male	1	226	2
male	1	226	2
male	1	226	2
male	1	226	2
male	1	226	2
male	1	227	2
male	1	227	2
male	1	227	2
male	1	227	2
male	1	227	2
male	1	227	2
male	1	228	2
male	1	228	2
male	1	228	2
male	1	228	2
male	1	228	2
male	1	228	3
male	1	228	2
male	1	228	2
male	1	228	2
male	1	228	2
male	1	229	2
male	1	229	2
male	1	229	2
male	1	229	2
male	1	229	2
male	1	229	2
male	1	229	1
male	1	229	2
male	1	229	2
male	1	230	2
male	1	230	2
male	1	230	2
male	1	230	2
male	1	230	2
male	1	230	2
male	1	230	1
male	1	230	2
male	1	230	1
male	1	230	2
male	1	230	2
male	1	230	2
male	1	230	2
male	1	230	2
male	1	230	2
male	1	231	2
male	1	231	2
male	1	231	2
male	1	231	2
male	1	231	2
male	1	231	2
male	1	231	2
male	1	231	1
male	1	231	2
male	1	231	2
male	1	231	2
male	1	232	2
male	1	232	3
male	1	232	2
male	1	232	2
male	1	232	2
male	1	232	2
male	1	232	2
male	1	232	2
male	1	232	2
male	1	232	2
male	1	233	2
male	1	233	3
male	1	233	2
male	1	233	2
male	1	233	2
male	1	233	2
male	1	233	2
male	1	233	2
male	1	233	2
male	1	234	2
male	1	234	2
male	1	234	2
male	1	234	2
male	1	234	2
male	1	234	2
male	1	234	2
male	1	234	2
male	1	234	2
male	1	234	2
male	1	234	2
male	1	234	2
male	1	234	2
male	1	234	2
male	1	234	2
male	1	235	3
male	1	235	3
male	1	235	2
male	1	235	2
male	1	235	2
male	1	235	2
male	1	235	2
male	1	235	1
male	1	235	2
male	1	235	2
male	1	235	2
male	1	235	2
male	1	235	2
male	1	235	2
male	1	235	1
male	1	235	2
male	1	235	2
male	1	235	2
male	1	236	2
male	1	236	2
male	1	236	2
male	1	236	2
male	1	236	2
